,Psi,r(Psi),f_mu(Psi),f_sigma(Psi)
165,2.0153753753753754,0.04569710757839847,0.10823381621094622,1.6683850342944233
166,2.0273473473473476,0.041220737934798066,0.09816996708048382,1.6726258388714939
167,2.0393193193193193,0.03677517626957334,0.08806324473212046,1.6768619238292022
168,2.0512912912912915,0.0323600348227137,0.07791381415010036,1.6810932976739716
169,2.0632632632632637,0.02797493292122685,0.06772183905915659,1.68531996910253
170,2.0752352352352355,0.02361949680922118,0.05748748193860948,1.6895419469934203
171,2.087207207207207,0.019293359483034202,0.047210904036275626,1.6937592403988133
172,2.0991791791791794,0.014996160531220257,0.036892265382170476,1.697971858536626
173,2.1111511511511516,0.010727545979232898,0.0265317248020224,1.7021798107829285
174,2.1231231231231233,0.006487168138631267,0.01612943993058504,1.7063831066646356
175,2.135095095095095,0.0022746854606606123,0.005685567224768684,1.710581755852454
176,2.1470670670670673,-0.0019102376059473183,-0.004799738023414081,1.7147757681540963
177,2.1590390390390395,-0.006067930753098574,-0.015326321674084755,1.7189651535077317
178,2.1710110110110112,-0.010198717947527913,-0.02589403072692157,1.723149921975687
179,2.182982982982983,-0.014302917561184288,-0.03650271330875133,1.7273300837383694
180,2.194954954954955,-0.01838084249794326,-0.0471522186613176,1.7315056490884067
181,2.2069269269269274,-0.022432800316769128,-0.0578423971292211,1.7356766284250054
182,2.218898898898899,-0.02645909335144364,-0.06857310014802544,1.7398430322485101
183,2.230870870870871,-0.03046001882697644,-0.07934418023252818,1.7440048711551555
184,2.242842842842843,-0.034435868972808314,-0.0901554909651991,1.7481621558320144
185,2.2548148148148153,-0.038386931132910626,-0.10100688698477771,1.7523148970521265
186,2.266786786786787,-0.042313487872877864,-0.11189822397501488,1.756463105669789
187,2.2787587587587588,-0.046215817084125574,-0.12282935865359718,1.7606067926160427
188,2.290730730730731,-0.05009419208526465,-0.13380014876118765,1.7647459688942888
189,2.302702702702703,-0.053948881720766444,-0.14481045305064807,1.7688806455760862
190,2.314674674674675,-0.057780150456990094,-0.15586013127639703,1.7730108337970967
191,2.3266466466466467,-0.061588258475656854,-0.16694904418390344,1.777136544753159
192,2.338618618618619,-0.06537346176521774,-0.17807705350039343,1.7812577896973447
193,2.350590590590591,-0.06913601220812086,-0.18924402192066195,1.7853745799332181
194,2.362562562562563,-0.07287615766902916,-0.20044981310262977,1.7894869268157287
195,2.3745345345345346,-0.07659414207765905,-0.21169429165383524,1.7935948417450343
196,2.3865065065065068,-0.08029020551095252,-0.22297732312248075,1.797698336163911
197,2.398478478478479,-0.08396458427284878,-0.23429877398775395,1.8017974215546
198,2.4104504504504507,-0.08761751097201355,-0.24565851165028166,1.805892109435778
199,2.4224224224224224,-0.09124921459758825,-0.2570564044227137,1.8099824113596312
200,2.4343943943943946,-0.09485992059301845,-0.2684923215204322,1.814068338909038
201,2.446366366366367,-0.09844985092801609,-0.27996613305237367,1.8181499036948428
202,2.4583383383383386,-0.10201922416872096,-0.29147771001199174,1.8222271173532434
203,2.4703103103103103,-0.10556825554610201,-0.30302692426831557,1.8262999915432536
204,2.4822822822822825,-0.10909715702266547,-0.3146136485571493,1.830368537944272
205,2.4942542542542547,-0.1126061373575084,-0.3262377564723749,1.8344327682537336
206,2.5062262262262265,-0.11609540216976943,-0.337899122457363,1.8384926941848392
207,2.5181981981981982,-0.11956515400052851,-0.3495976217965087,1.8425483274643728
208,2.5301701701701704,-0.12301559237319788,-0.36133313060688077,1.846599679830606
209,2.5421421421421426,-0.12644691385244042,-0.3731055258299531,1.8506467630312564
210,2.5541141141141144,-0.12985931210167373,-0.3849146852234743,1.854689588821538
211,2.566086086086086,-0.13325297793918842,-0.39676048735343017,1.8587281689622823
212,2.5780580580580583,-0.13662809939292012,-0.40864281158609667,1.8627625152181089
213,2.5900300300300305,-0.13998486175392377,-0.4205615380802177,1.8667926393556864
214,2.6020020020020023,-0.14332344762857674,-0.43251654777927007,1.8708185531420438
215,2.613973973973974,-0.1466440369895506,-0.44450772240382824,1.874840268342943
216,2.625945945945946,-0.14994680722558712,-0.45653494444402976,1.8788577967213171
217,2.6379179179179184,-0.15323193319010914,-0.46859809715213196,1.882871150035761
218,2.64988988988989,-0.15649958724870247,-0.48069706453516897,1.8868803400390808
219,2.661861861861862,-0.1597499393254954,-0.4928317313476928,1.8908853784768913
220,2.673833833833834,-0.16298315694847182,-0.5050019830846171,1.8948862770862756
221,2.6858058058058063,-0.16619940529374297,-0.5172077059741454,1.8988830475944878
222,2.697777777777778,-0.16939884722880616,-0.5294487869707833,1.9028757017177027
223,2.70974974974975,-0.1725816433548194,-0.541725113748437,1.906864251159811
224,2.721721721721722,-0.1757479520479259,-0.5540365746936261,1.9108487076112777
225,2.733693693693694,-0.1788979294996326,-0.5663830588987261,1.9148290827480117
226,2.745665665665666,-0.18203172975629686,-0.5787644561553504,1.9188053882303089
227,2.7576376376376377,-0.18514950475772238,-0.5911806569477824,1.9227776357018207
228,2.76960960960961,-0.1882514043748983,-0.603631552446496,1.9267458367885624
229,2.781581581581582,-0.19133757644690266,-0.6161170345017568,1.9307100030979627
230,2.793553553553554,-0.1944081668169911,-0.6286369956373007,1.9346701462179512
231,2.8055255255255256,-0.19746331936789255,-0.6411913290440863,1.938626277716074
232,2.817497497497498,-0.2005031760563367,-0.6537799285741392,1.9425784091386589
233,2.82946946946947,-0.20352787694682373,-0.6664026887344479,1.946526552009999
234,2.8414414414414417,-0.20653756024466557,-0.6790595046809473,1.950470717831572
235,2.8534134134134135,-0.2095323623283143,-0.6917502722125788,1.9544109180812987
236,2.8653853853853857,-0.2125124177809924,-0.7044748877654098,1.9583471642128225
237,2.877357357357358,-0.21547785942164852,-0.7172332484068324,1.9622794676548223
238,2.8893293293293296,-0.21842881833525188,-0.7300252518298285,1.9662078398103495
239,2.9013013013013014,-0.22136542390244468,-0.7428507963473093,1.9701322920562034
